Food Item,Category,Calories
1pcs KFC Chicken,Non-Vegetarian,320
1pcs McDonald's Burger,Non-Vegetarian,300
1pcs Domino's Pizza Slice,Vegetarian,285
1pcs Subway Sandwich,Vegetarian,250
1pcs Burger King Whopper,Non-Vegetarian,350
1pcs Taco Bell Taco,Vegetarian,200
1pcs Pizza Hut Pepperoni Pizza,Non-Vegetarian,280
1pcs Haldiram’s Biryani,Vegetarian,450
1pcs Dunkin’ Donuts Donut,Vegetarian,220
1pcs Baskin Robbins Ice Cream Scoop,Vegetarian,270
1pcs KFC French Fries,Vegetarian,250
1pcs McDonald's McFlurry,Vegetarian,280
1pcs Starbucks Coffee,Vegetarian,150
1pcs Subway Veggie Wrap,Vegetarian,210
1pcs Pizza Hut Veggie Pizza,Vegetarian,275
1pcs Taco Bell Crunchwrap,Vegetarian,290
1pcs Burger King Veggie Burger,Vegetarian,290
1pcs Domino's Veggie Pizza,Vegetarian,265
1pcs Baskin Robbins Sundae,Vegetarian,310
1pcs Krispy Kreme Donut,Vegetarian,240
1pcs Krispy Kreme Chocolate Doughnut,Vegetarian,250
1pcs Hardee’s Chicken Burger,Non-Vegetarian,350
1pcs McDonald's Chicken Nuggets,Non-Vegetarian,300
1pcs Papa John’s Veggie Pizza,Vegetarian,280
1pcs Subway Chicken Teriyaki,Non-Vegetarian,270
1pcs Burger King Veggie Wrap,Vegetarian,280
1pcs KFC Zinger Burger,Non-Vegetarian,380
1pcs Haldiram’s Pav Bhaji,Vegetarian,360
1pcs Dunkin’ Donuts Veggie Sandwich,Vegetarian,280
1pcs Baskin Robbins Chocolate Chip Ice Cream,Vegetarian,280
1pcs Subway Meatball Marinara,Non-Vegetarian,300
1pcs McDonald's Filet-O-Fish,Non-Vegetarian,310
1pcs Taco Bell Veggie Bowl,Vegetarian,310
1pcs Burger King Spicy Chicken,Non-Vegetarian,330
1pcs Domino's Veggie Pasta,Vegetarian,250
1pcs KFC Hot Wings,Non-Vegetarian,290
1pcs Pizza Hut Veggie Pasta,Vegetarian,260
1pcs Haldiram’s Paneer Tikka,Vegetarian,400
1pcs Hardee’s Veggie Supreme Burger,Vegetarian,330
1pcs Baskin Robbins Strawberry Ice Cream,Vegetarian,270
1pcs Krispy Kreme Cinnamon Roll,Vegetarian,270
1pcs Subway Veggie Delight,Vegetarian,200
1pcs McDonald's Chocolate Shake,Vegetarian,300
1pcs KFC Burger,Non-Vegetarian,350
1pcs Domino’s Pepper Barbecue Chicken,Non-Vegetarian,310
1pcs Taco Bell Nachos,Vegetarian,250
1pcs Hardee’s Mozzarella Sticks,Vegetarian,280
1pcs Pizza Hut Garlic Bread,Vegetarian,220
1pcs Dunkin’ Donuts Chocolate Iced Coffee,Vegetarian,250
1pcs Baskin Robbins Mint Chocolate Chip Ice Cream,Vegetarian,280
1pcs Krispy Kreme Lemon Glaze Doughnut,Vegetarian,260
1pcs Burger King Veggie Nuggets,Vegetarian,270
1pcs Subway Veggie Wrap,Vegetarian,250
1pcs McDonald's Bacon Burger,Non-Vegetarian,360
1pcs Domino's Veggie Cheese Pasta,Vegetarian,270
1pcs KFC Hot & Spicy Chicken,Non-Vegetarian,370
1pcs Pizza Hut Veggie Supreme Pizza,Vegetarian,310
1pcs Taco Bell Veggie Taco,Vegetarian,240
1pcs Baskin Robbins Vanilla Ice Cream,Vegetarian,250
1pcs Krispy Kreme Glazed Donut,Vegetarian,230
1pcs Subway Italian B.M.T,Non-Vegetarian,320
1pcs Hardee’s Veggie Burger,Vegetarian,310
1pcs Domino's Cheesy Veggie Pizza,Vegetarian,270
1pcs McDonald's Chicken McBites,Non-Vegetarian,280
1pcs Taco Bell Veggie Supreme,Vegetarian,270
1pcs KFC Classic Chicken,Non-Vegetarian,320
1pcs Baskin Robbins Pralines & Cream Ice Cream,Vegetarian,260
1pcs Krispy Kreme Chocolate Glaze,Vegetarian,250
1pcs Domino’s Butter Garlic Bread,Vegetarian,240
1pcs Subway Tuna Sandwich,Non-Vegetarian,340
1pcs Hardee’s Veggie Delight,Vegetarian,330
1pcs Pizza Hut Veggie Margherita,Vegetarian,260
1pcs KFC Caesar Salad,Vegetarian,250
1pcs Taco Bell Loaded Grilled Cheese,Vegetarian,300
1pcs Baskin Robbins Black Currant Ice Cream,Vegetarian,270
1pcs Krispy Kreme Birthday Cake Donut,Vegetarian,280
1pcs Subway Veggie Melt,Vegetarian,230
1pcs McDonald's Egg McMuffin,Vegetarian,250
1pcs Domino's Veggie Supreme Pasta,Vegetarian,280
1pcs Hardee’s BBQ Chicken Burger,Non-Vegetarian,350
1pcs Baskin Robbins Chocolate Chip Cookie Dough,Vegetarian,270
1pcs Taco Bell Veggie Grilled Stuft,Vegetarian,310
1pcs Pizza Hut Veggie BBQ,Vegetarian,280
1pcs KFC Sweet Chili Chicken,Non-Vegetarian,320
